episode 75 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 22.8
episode 76 of 1000 complete,  explore val = 0.01, episode reward = 94.0, ave reward = 23.7
episode 77 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 23.8
episode 78 of 1000 complete,  explore val = 0.01, episode reward = 24.0, ave reward = 24.1
episode 79 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 24.2
episode 80 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 24.3
episode 81 of 1000 complete,  explore val = 0.01, episode reward = 15.0, ave reward = 24.5
episode 82 of 1000 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 24.6
episode 83 of 1000 complete,  explore val = 0.01, episode reward = 18.0, ave reward = 24.8
episode 84 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 25.0
episode 85 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 25.2
episode 86 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 25.4
episode 87 of 1000 complete,  explore val = 0.01, episode reward = 15.0, ave reward = 25.5
episode 88 of 1000 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 25.8
episode 89 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 26.0
episode 90 of 1000 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 26.2
episode 91 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 26.4
episode 92 of 1000 complete,  explore val = 0.01, episode reward = 35.0, ave reward = 26.8
episode 93 of 1000 complete,  explore val = 0.01, episode reward = 113.0, ave reward = 27.9
episode 94 of 1000 complete,  explore val = 0.01, episode reward = 14.0, ave reward = 28.1
episode 95 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 28.2
episode 96 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 28.5
episode 97 of 1000 complete,  explore val = 0.01, episode reward = 24.0, ave reward = 28.7
episode 98 of 1000 complete,  explore val = 0.01, episode reward = 94.0, ave reward = 29.6
episode 99 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 30.0
episode 100 of 1000 complete,  explore val = 0.01, episode reward = 13.0, ave reward = 30.2
episode 101 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 30.4
episode 102 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 30.5
episode 103 of 1000 complete,  explore val = 0.01, episode reward = 55.0, ave reward = 30.8
episode 104 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 30.9
episode 105 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 31.0
episode 106 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 31.2
episode 107 of 1000 complete,  explore val = 0.01, episode reward = 14.0, ave reward = 30.7
episode 108 of 1000 complete,  explore val = 0.01, episode reward = 99.0, ave reward = 31.3
episode 109 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 30.8
episode 110 of 1000 complete,  explore val = 0.01, episode reward = 70.0, ave reward = 31.2
episode 111 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 31.2
episode 112 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 31.1
episode 113 of 1000 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 30.4
episode 114 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 29.7
episode 115 of 1000 complete,  explore val = 0.01, episode reward = 11.0, ave reward = 28.6
episode 116 of 1000 complete,  explore val = 0.01, episode reward = 77.0, ave reward = 28.9
episode 117 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 28.9
episode 118 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 28.4
episode 119 of 1000 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 28.2
episode 120 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 28.5
episode 121 of 1000 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 28.6
episode 122 of 1000 complete,  explore val = 0.01, episode reward = 71.0, ave reward = 29.0
episode 123 of 1000 complete,  explore val = 0.01, episode reward = 24.0, ave reward = 29.0
episode 124 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 29.1
episode 125 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 29.3
episode 126 of 1000 complete,  explore val = 0.01, episode reward = 64.0, ave reward = 29.4
episode 127 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 29.4
episode 128 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 29.4
episode 129 of 1000 complete,  explore val = 0.01, episode reward = 84.0, ave reward = 30.0
episode 130 of 1000 complete,  explore val = 0.01, episode reward = 82.0, ave reward = 30.7
episode 131 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 30.7
episode 132 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 30.7
episode 133 of 1000 complete,  explore val = 0.01, episode reward = 21.0, ave reward = 30.9
episode 134 of 1000 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 31.0
episode 135 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 31.0
episode 136 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 31.2
episode 137 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 30.9
episode 138 of 1000 complete,  explore val = 0.01, episode reward = 95.0, ave reward = 31.6
episode 139 of 1000 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 31.4
episode 140 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 31.6
episode 141 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 32.2
episode 142 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 32.3
episode 143 of 1000 complete,  explore val = 0.01, episode reward = 13.0, ave reward = 32.3
episode 144 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 32.4
episode 145 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 32.6
episode 146 of 1000 complete,  explore val = 0.01, episode reward = 42.0, ave reward = 32.7
episode 147 of 1000 complete,  explore val = 0.01, episode reward = 15.0, ave reward = 32.2
episode 148 of 1000 complete,  explore val = 0.01, episode reward = 70.0, ave reward = 32.0
episode 149 of 1000 complete,  explore val = 0.01, episode reward = 103.0, ave reward = 32.8
episode 150 of 1000 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 33.2
episode 151 of 1000 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 33.5
episode 152 of 1000 complete,  explore val = 0.01, episode reward = 29.0, ave reward = 33.7
episode 153 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 33.9
episode 154 of 1000 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 34.0
episode 155 of 1000 complete,  explore val = 0.01, episode reward = 14.0, ave reward = 34.1
episode 156 of 1000 complete,  explore val = 0.01, episode reward = 135.0, ave reward = 35.4
episode 157 of 1000 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 35.2
episode 158 of 1000 complete,  explore val = 0.01, episode reward = 80.0, ave reward = 35.8
episode 159 of 1000 complete,  explore val = 0.01, episode reward = 29.0, ave reward = 36.0
episode 160 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 36.3
episode 161 of 1000 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 36.6
episode 162 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 36.9
episode 163 of 1000 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 37.1
episode 164 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 37.1
episode 165 of 1000 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 37.5
episode 166 of 1000 complete,  explore val = 0.01, episode reward = 160.0, ave reward = 39.0
episode 167 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 39.4
episode 168 of 1000 complete,  explore val = 0.01, episode reward = 24.0, ave reward = 39.4
episode 169 of 1000 complete,  explore val = 0.01, episode reward = 21.0, ave reward = 39.5
episode 170 of 1000 complete,  explore val = 0.01, episode reward = 45.0, ave reward = 39.6
episode 171 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 39.4
episode 172 of 1000 complete,  explore val = 0.01, episode reward = 130.0, ave reward = 40.6
episode 173 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 39.4
episode 174 of 1000 complete,  explore val = 0.01, episode reward = 81.0, ave reward = 40.0
episode 175 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 40.4
episode 176 of 1000 complete,  explore val = 0.01, episode reward = 46.0, ave reward = 39.9
episode 177 of 1000 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 40.1
episode 178 of 1000 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 40.0
episode 179 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 40.2
episode 180 of 1000 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 40.3
episode 181 of 1000 complete,  explore val = 0.01, episode reward = 97.0, ave reward = 41.1
episode 182 of 1000 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 41.4
episode 183 of 1000 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 41.4
episode 184 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 41.4
episode 185 of 1000 complete,  explore val = 0.01, episode reward = 21.0, ave reward = 41.5
episode 186 of 1000 complete,  explore val = 0.01, episode reward = 64.0, ave reward = 41.9
episode 187 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 42.2
episode 188 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 42.2
episode 189 of 1000 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 42.5
episode 190 of 1000 complete,  explore val = 0.01, episode reward = 67.0, ave reward = 42.9
episode 191 of 1000 complete,  explore val = 0.01, episode reward = 110.0, ave reward = 43.7
episode 192 of 1000 complete,  explore val = 0.01, episode reward = 52.0, ave reward = 43.9
episode 193 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 43.1
episode 194 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 43.2
episode 195 of 1000 complete,  explore val = 0.01, episode reward = 18.0, ave reward = 43.2
